DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
21.52,,18911.17,49267.96,96282.8,4839.66,11596.65,300652.63,1699.61,,347.58,10746.26,,,15.65,35.31,1948.32,43.07,3.9,33.3,,16.92,
21.33,,14649.1,37225.71,88156.71,5975.72,8292.42,311786.78,1576.01,,317.03,10349.09,30.95,,19.71,25.97,1949.17,41.14,1.67,96.35,,19.96,
21.13,,10737.96,42705.02,100795.13,7456.56,12381.74,269178.97,1758.12,,292.14,10806.25,,,5.55,37.3,1656.73,50.06,3.94,,,16.24,
20.93,1.7644,12724.36,31893.56,75735.63,7541.12,7039.38,355202.22,1971.2,,289.04,12766.25,30.07,,68.16,13.53,2274.41,20.16,,102.23,,21.49,
20.73,,13329.47,47124.09,101727,4514.13,11985.95,292853.41,1717.19,,566.23,10903.64,,,9.73,36.47,1829.18,44.26,3.63,,,11.44,
20.54,,10461.05,41059.04,94801.63,4183,10374.82,294528.53,1722.68,,343.84,10334.6,21.11,,13.41,31.33,1825.03,42.98,3.4,100.4,,18.52,
20.34,,8000.94,41686.07,92690.99,4968.37,11170.32,295467.97,1908.19,,379.48,10571.04,,,5.87,33.46,1775.98,38.49,3.77,45.3,,13.99,
20.14,,16998.15,47517.9,97973.16,4834.74,11113.76,297584.75,2195.33,,301.39,10798.75,,,24.24,34.82,1830.95,44.26,2.81,26.6,,18.18,
19.95,,12629.87,36055,85523.98,5220.14,7730.08,333376.19,1765.67,,351.83,10394.59,19.36,,14.54,20.76,2092.7,31.56,1.61,45.9,,19.83,
19.75,,14511.53,59795.73,113897.58,6270.13,16457.45,261125.92,2263.17,,576.85,12703.59,,,19.05,52.43,1633.37,54.98,4.63,9.2,,14.07,
19.69,,11294.86,38566.04,96390.13,18239.07,12414.8,268769.69,1911.49,,451.18,11759.72,,,17.24,37.96,1660.36,47.87,4.18,,,15.01,
19.49,,17660.87,45691.13,100678.02,5178.96,10262.64,298755.06,1756.65,,381.68,11708.14,22.78,8.29,24.18,28.53,1868.15,40.99,3.09,73.24,,16.67,
19.29,,16823.94,47432.68,104830.06,13793.12,12030.98,271975.91,1902.12,,296.75,13727.39,20.2,8.45,39.22,37.16,1738.54,50.83,3.59,91.21,,19.03,
19.09,2.2365,17683.24,61252.16,119717.05,5003.46,16004.32,248095.88,1998.27,,321.82,13129.14,,,10.26,52.4,1487.52,66.46,5.8,44.5,,16.16,
18.90,,14697.7,78998.19,136475.22,6395.08,19600.94,227108.67,2327.01,,261.9,14822.11,38.86,8.3,37.77,64.83,1329.09,75.79,6.73,127.99,,17.28,
18.70,,16970.2,71031.84,131052.86,5602.14,17320.76,233115.72,2338.08,,465.45,14655.88,,,32,57.02,1424.44,68.65,5.01,44.3,,13.23,
18.50,,12466.69,38935.32,86949.67,6031.64,8981.61,320536.97,1478.38,,350.7,11976.41,43.77,8.59,17.23,25.36,1965.65,31.87,2.83,67.99,,15.46,
18.31,,16110.16,50491.31,108373.45,5387.32,11723.98,284964.72,1831.87,,332.16,12386.68,13.72,,22.76,35.95,1803.74,56.78,4.05,38.7,,18.81,
18.11,,6728.91,45150.75,100530.34,12179.88,12937.53,264574.66,1958.43,,330.33,11615.5,,,10.68,40.97,1630.2,54.33,4.52,101.41,,17.51,
17.91,,7178.27,27516.32,67627.05,90975.36,8751.74,260911.5,1516.83,,322.59,11574.28,21.99,,16.18,31.75,1691.98,45.45,3.34,71.99,,14.63,
17.72,,12652.04,33406.07,79439.61,4451.38,7237.15,337530.44,1457.19,,385.35,9451.08,23.49,8.46,10.85,21.1,2097.95,33.31,,27.4,,16.88,
17.52,,11780.58,40994.56,90975.84,10582.18,10048.69,298240.44,1803.55,,423.64,11955.2,13.8,,6.99,30.97,1929.79,42.14,4.25,27.3,,16.41,
17.32,,17547.68,42933.09,88777.63,4515.11,9295.52,322739.69,1624.94,,340.72,9664.68,37.16,,14.44,28.05,1962.6,35.36,2.03,99.31,,20.8,
17.13,1.8185,14392.26,33327.41,86279.79,7769.44,8414.3,307080.78,1537.27,,388.81,10564.03,,,14.46,24.54,1915.45,38.1,2.31,89.51,,17.1,
16.93,,14530.14,47017.38,87274.88,6602.82,10592.98,321732.03,1962.02,,347.33,10703.23,34.94,,15.31,29.87,1896.79,33.97,2.03,53.64,,18.2,
16.73,,9140.48,25764.19,65101.87,14422.91,6414.23,350400.38,1694.98,,394.13,24543.69,21.37,,14.26,16.93,1933.47,19.33,2.34,40.3,,16.57,
16.54,,11588.57,47825.27,102229.88,31738.19,13953.53,252343,1794.24,,199.69,12178.23,19.82,,19.8,44.6,1576.24,53.26,5.19,134.83,,15.83,
16.34,,16983.13,44930.13,98572.02,5773.7,9572.05,305754.75,1619.65,,407.84,12078.19,21.6,,13.41,29.1,1957.63,46.54,3.55,27.8,,12.9,
16.14,,14153.06,61127.38,118853.16,10686.71,15213.98,251200.2,1790.27,,286.15,13913.8,21.87,,24.14,49.02,1575.7,61.28,5.18,101.4,,13.71,
15.94,,18651.48,58945.12,111157.14,5023.85,13965.38,269809.5,1506.25,,296.68,12704.42,33.17,9.89,19.66,42.77,1724.63,52.07,4.58,98.17,,12.54,
15.75,,14638.32,68229.38,130980.91,4826.13,17996.51,228621.66,2236.69,,339.51,13519.1,,,10.53,58.8,1398.71,67.23,4.42,80,,14.76,
15.55,,15299.67,39694.32,97006.58,5883.49,9432.15,297830,1658.32,,343.41,11966.41,34.48,,35.71,27.73,1960.87,53.58,2.86,92.45,,15.67,
15.35,,14664.23,53664.68,114957.97,10523.1,13171.81,260596.11,1737.81,,308.38,18724.5,24.51,,47.18,38.8,1646.28,66.71,4.55,97.52,,14.18,
